,anonymisation,occupation,job_title,company_name,gender
105,nsullivan,Senior Engineering Lead,Senior Engineering Leader - AI/ML @ Synopsys,,male
106,qhester,Consultante data manager,Data Quality Analyst,CFA de l'Enseignement Supérieur,female
107,alexanderhess,Solutions Architect,Solutions Architect,SEPTEO,male
108,tamarapeterson,,Étudiant à Université Paul Valéry - Montpellier 3,,male
109,alexanderfriedman,Data Analyst,Étudiante en Master MBFA parcours Analyse des Risques Bancaires,,female
110,jessicadominguez,Ingénieur projets,Chargé d’Etudes,,male
111,oliviawilkinson,Consultant,Data Analyst,,male
112,ashleyalvarado,Data Analyst/Data Management ,Data Analyst/Data Management chez Semiso,,male
113,gcarter,,Big Data & AI Student @MBS,,male
114,mhughes,Stage de fin d’études,PhD Student in Management Sciences,Institut National de la Recherche Agronomique d'Algérie (INRA),female
115,bakerkevin,Chargé de mission Risques et Transition Écologique ,Senior Project Manager - Transition Écologique,,male
116,imiller,Data Analyst,Data Analyst,,male
117,mccoymaria,Consultant Social Media Marketing - Expert WebMarketing,Chargé d’affaires - Directeur de projet chez Esri France,Stark Digital,male
118,rachelnelson,Gestion d’actifs,Ingénieure,Veolia,female
119,donna04,Stagiaire en informatique Web et Data,Entreprise Data Architect @ Airbus. From rows and columns to real solutions  let's think Outside the grid.,,male
120,lsmith,Gestionnaire des approvisionnements,A la recherche d’un emploi,,female
121,stewartsean,Data analyst,--,,male
122,jason89,Ingénieur décisionnel ,Looking for an internship  Master's in Currency  Banking  Finance  Insurance  Market Risk Analysis course  College degree in Big Data/Data Science & Risk Analysis in Python,Inetum,male
123,kathy83,International Sales Executive,Etudiant en Master Marketing & Data Analytics @ L’Université de Montpellier - Montpellier Management,,male
124,goodmichelle,Data Analyst,Étudiant en informatique à Epitech Montpellier | Passionné de Big Data | Futur Innovateur Technologique,,male
125,josephstevens,Analyste développeur intégrateur,Developpement informatique  e-archivistique  GED,,female
126,hollylopez,--,Étudiant en M2 d'urbanisme,,male
127,phillipspeter,Data analyst,Data Analyst - master STAPS,,male
128,vevans,Data Analyst - Pilotage de performance commerciale,Alternant chez EDF - Master en Ingénierie des données,EDF,male
129,christinacasey,Production Manager at B.Research Solutions,Production Manager at B.Research Solutions,B.Research Solutions,female
130,michaellopez,Recherche Alternance 12 mois Ingénieur Machine Learning - rythme 3j entreprise / 2j formation,Ingénieur en traitement des données,,male
131,michael36,,--,,male
132,elong,Data Analyst,Développeur C# .NET chez PwC France,,male
133,john92,,I have a master's degree in Biodiversity  Ecology  and Evolution with a specialization in the functioning and management of marine ecosystems  and I am currently seeking professional opportunities,,female
134,hevans,,Étudiante Master 1 MIASHS,,female
135,ehall,Postdoctoral Researcher,Bioinformatician  PhD at INSERM,IRCM,male
136,garciadavid,,Student at Polytech Montpellier majoring in food science and applied biology,,male
137,dwillis,,Étudiante Master 1 d'ingénierie Financière,,female
138,jeffrey50,CO-founder - CTO - Fullstack Developper,Freelance BI / FullStack Web Dev Engineer,,male
139,amber28,Industrial Engineering student at Université de Technologie de Troyes (UTT),Former Data Analyst at Supreme Headquarters Allied Powers Europe,,male
140,leonard41,Développeur C++/Qt,Développeur C++/Qt,,male
141,cdelacruz,CS System support specialist Western Europe ,European Contact Center Data Analyst at Bausch + Lomb,,male
142,jacquelinemckee,Développeur .NET,Développeur .NET chez Assurant,,male
143,james25,Data Governance,Data Governance at Spiceworks Ziff Davis,,male
144,fspencer,Internship Trainee,Eco-Epidemiology of Emerging Diseases | MPH | Veterinary Medicine,,female
145,travis75,Global data product lead,Data product lead @Royal Canin,,female
146,glee,Data Engineer,Data Engineer,,male
147,john29,Technical Account Manager,International Support  Technical Account Manager,,male
148,melissa32,Technical Lead,Lead Dev. - Python (API  Machine Learning  Webscraping  PySpark  Pandas) - Expert Cloud AWS 📌 Data Analyse & Architecture - MageAI - 📈 PowerBI  Tableau  Odoo 📚 SQL/NoSQL,,male
149,bsnow,Developpeur Salesforce,Consultant IT,,male
150,arobinson,Expert - Data Analyst - Conseil et enseignements technologiques,Data Scientist - Expert en statistiques décisionnelles - Consultante & Formatrice,C SILVESTRI CONSEIL,female
151,barbara87,Data Analyst,Data Analyst at Orange,,male
152,xmatthews,Stagiaire chez ENEO (France) ,Stagiaire chez ENEO (France),,male
153,powellana,Ingénieur Data,Ingénieur Data,,male
154,davidspencer,Data Engineer,Data Engineer,,female
155,tarahunt,Consultante Business Intelligence ,Consultante Business Intelligence,,female
156,brownjeremy,Développeur Java,Développeur Java chez CATS,,male
157,janestrickland,Data Analyst,Data Analyst at Spiriit,,female
158,vlevy,Analytics Engineer,🚀 Data analyst + Data engineer = Analytics engineer,,male
159,lisa61,Formation en Data Science,Data Scientist & Analyst | Expertise en Analyse de Données  Machine Learning et Gestion de Projets,,male
160,xgomez,Product Data Analyst,Product Data Analyst at Teads,,female
161,thomas10,Senior Data Engineer,Senior Data Engineer at Tasman,,male
162,john36,,Senior Researcher at IRD,,male
163,davejohnson,Data Analyst Manager - Gas & Electricity,Data Analyst - Gas & Electricity,,male
164,timothy52,Directrice conseil expert ,Directrice conseil expert en transformation,,female
165,sabrina31,Data analyst - Operations ,Recherche emploi COMPTABILITE/CONTROLE DE GESTION,,female
166,egutierrez,Ingénieure Data,Analyse et ingénierie de données / Big data / IA /Snowflake / Power BI / SQL / dbt,Voxe,female
167,karen89,,Étudiant en Mastère Expert IT - Applications intelligentes et Big Data | Développeur Full-stack | à la recherche d'alternance,,male
168,joshua83,Data Scientist NLP,Data Scientist | PhD,,female
169,lconway,Technical Product Owner,Energy - Sustainable Development - Data,,male
170,josephjordan,Webmarketer  & Webmaster,Webmarketer,Free Lance,male
171,umartin,Directeur du Département de Formation et de Recherche en Sciences Juridiques et Economiques,Maître de conférences | PhD Management Control | Big Data,,male
172,lukehayden,Ingénieur Décisionnel ,Ingénieur Décisionnel CDC-habitat,CDCH,male
173,alex19,Étudiant,Diplômé Master Biostatistique / Data Analyst | A la recherche d'emploi,,male
174,wpotter,Consultante data,Consultante data,,female
175,karenlopez,Bioinformatics Engineer,Bioinformatics Engineer at INRAE,,male
176,james36,,Master Grand école Finance,,male
177,penaeugene,Data Consultant,Data Engineer Student at EPF Engineering School,,male
178,padillakimberly,Data Analyst for Airbus Helicopters,Data Scientist,,male
179,nathan83,Auditeur IT chez PwC France,Auditeur IT chez PwC France | Controls Assurance Industries & Services,,female
180,ufrost,Apprenant en formation Data analyste ,Data Analyst(Python  SQL  Tableau  Maching Learning  Web Scraping),,male
181,kevin43,Data scientist,Data Scientist,,male
182,roberto38,ingénieur de recherche en bioinformatique et administrateur de base de données,Research engineer in bioinformatics and database administrator,,female
183,mheath,,Student in IT Systems Management | Tourism Digital Strategy & CRM Specialist | Building Solutions on GitHub,,male
184,woodwardann,Assistante Pôle Ingénierie - Data Analyst at CDC Habitat,Assistante Pôle Ingénierie - Data Analyst at CDC Habitat,,female
185,tiffanyjordan,Analyste de données,Sales analyst chez Nacon,Cowool,male
186,njackson,Data Manager,Data Manager,,male
187,obarry,Cheffe de projet agro-environnement,Cheffe de projet agro-écologue chez NATURALIA ENVIRONNEMENT,NATURALIA ENVIRONNEMENT,female
188,flowerskeith,Étudiant en master 1 MIASHS à l'UPVM3,Étudiant en master MIASHS à l'UPVM3,,male
189,pam08,Senior Data Analyst,Senior Data Analyst chez PwC France | Ingénierie Economique  Statistiques,,male
190,edgar12,Flying Finance Coordinator,Senior advisor in financial management of humanitarian and international development projects,,female
191,kyle03,Développeur et statisticien,Développeur et statisticien,,male
192,sabrinawallace,Coordinateur projets genotypage / data analyst,🔍 À la recherche d’une nouvelle opportunité en tant que chargé de mission ou ingénieur d’étude dans les milieux agricoles et semenciers 🌾  en agroécologie  génétique 🧬 et/ou santé des plantes 🌱,,female
193,jacksonkeith,Consultant datascience,Consultant MLOps | développeur python-IA,GROUPAMA,male
194,mwilkins,Ingenieur projet,IT Engineer / Freelancer,ITESOFT,male
195,jonesrebecca,Chargé de recherche / enseignement en IA,Informaticien débridé qui aime relever les défis de manière créative et intelligente Supabase | Data science | Statistique | Web sémantique | Représentation des connaissances | Angular | Typescript | neo4j | Python | R,SupAgro,male
196,nicholsalexandria,Coordinatrice Supply Chain & Logistique Internationale,..,,female
197,bgraham,Data analyst - cadre,📶 Microsoft Certified Data Analyst @Mint || Power BI | SQL | Python ⚕,,female
198,sarahcarter,Program & Product Director - Mobile apps Analytics,Product Leader | Ex-Program Director | Scale-up & Enterprise Experience | Travel  Digital | Remote / Montpellier,,male
199,gdunn,Assistante Analyste de données ,Étudiante en Ingénieur Agro avec une Spécialisation en Marché Financier,,female
200,melissawalker,Coordinateur Incident Problem Change Manager / Amélioration continue / Manager de transition,Incident-Problem-Change Manager / Chef de projet et chargé d'Amélioration Continue / Manager de transition pendant 6 mois au sein d'EDF Renouvelable,,male
201,harrisjoseph,Postdoctoral Researcher,Data Scientist | AI | Machine Learning,,male
202,smithshawn,Data Analyst,Looking for opportunities willing to relocate,Whoz,male
203,robin37,,Data Engineer / Analyst,,male
204,simsallen,Data Analyst,🎯 Consultante Data | Transformation Digitale | Optimisation & Innovation,,female
205,andrea16,Business Intelligence Consultant,EPM Consultant - Data Analyst,,male
206,arocha,Lead Developer,Researcher  Project Manager | Experienced in Biology  Agriculture and IoT developement | PRINCE 2 | Product Owner | Scrum Master,,male
207,joneskim,Audit IT & Data Analyst ,Audit IT & Data Analyst chez PwC France,,male
208,qmccarthy,Ingénieur développement,Web Analyst / Data Analyst,,male
209,mbrown,Data Analyst,Energy Economics and Law Master Student,Leyton,female
210,paul97,Conseillère Livre et Lecture  Langue francaise,Conseillère Livre et Lecture | Stratégie et développement des bibliothèques publiques I Méthodes prospectives,Ministère de la Culture,female
211,jorgehamilton,,Étudiant en Master 2 Analyse de Risques Bancaires à l'Université de Montpellier & Diplôme Universitaire en Big Data  Data Science et Analyse des Risques sous Python,,undetermined
212,jeffreynunez,Gestionnaire Trésorerie ,Trésorier,,male
213,abigailbates,Ingénieur Commercial Marché Corporate,Account Executive Corporate & CPA @ LexisNexis,LexisNexis France,male
214,hoffmanmatthew,Consultante mainframe (cobol),Consultante mainframe (Cobol),,female
215,smoore,Business Analyst,Atos,,male
216,connieandersen,Psychologue,Insertion et Maintien en Emploi - Compensations et Adaptations Professionnelles - Psychologie - Neuropsychologie - Intelligence relationnelle - Handicap - Maladie Chronique - Sensorialité - Accident de Parcours de Vie,Appuis Specifiques Audition ARIEDA Occitanie,female
217,jonesgwendolyn,,Doctorant in Statistics and Data Science at IPB University  Indonesia - L'Institut Agro Montpellier  France | Statistician at BPS,,male
218,barrettjorge,Data Analyste Power BI,Data Analyst,,male
219,michael10,,Futur ingénieur en agroalimentaire | Passionné par la Nutrition  l'Innovation et la R&D | Engagé à améliorer la qualité nutritionnelle des aliments et répondre aux enjeux de santé.,Oresys,male
220,mitchellkenneth,Data Analyst,Professor,,female
221,phillipskelly,,Data Analyst,,male
222,hermansusan,Développeur Full Stack,Développeur Full Stack & Spécialiste en Intelligence Artificielle,Spirit Bird IA Solutions,male
223,bellrandall,Data Analyst,Data Analyst,,female
224,xcannon,Product Lead,Product Lead Appli Ma Banque - Crédit Agricole,Crédit Agricole Technologies et Services,male
225,wbautista,Créatrice Ornella Home & Cosy®️,Spécialiste en communication digitale,Instagram,female
226,burnsvickie,Consultant Data,Data Analyst | Power BI | Data Visualisation | Python | Machine Learning,,male
227,jeangilbert,Audit IT & Data Analyst,Audit IT & Data Analyst chez PwC France,PwC France,male
228,joy30,Data Management,MSc in Data Engineering at EPF Montpellier,,female
229,robertromero,,Responsable Maintien en Condition Opérationnelle des applications - Pôle Numérique et Donnée - 3M,,female
230,lnelson,,Husband | Dad | Medical Geneticist | Research Engineer at IMGT - The international ImMunoGeneTics information system CNRS - Centre National de la Recherche Scientifique 141 rue de la Cardonille  34396 Montpellier  France,,male
231,williamsonalicia,P S E ,programmeur systeme exploitation,,male
232,barbarabutler,Analyste de données - Transformation digitale,Data Analyst | Digital Transformer 📈,,female
233,leah26,Biostatisticien,Biostatisticien / Data analyst,,male
234,elizabeth29,Lead Data Analyst,Lead Data analyst at Pubstack,,male
235,bishopjohn,Directeur artistique indépendant,Directeur artistique - Graphiste & Motion Designer,,male
236,baxterdeborah,Consultant Application,BI Developer / Data Analyst,,female
237,hayeschristopher,Assistante marketing et data analyst ,Student at Montpellier Business school,,female
238,holly38,Data analyst,Data Analyst,Leroy Merlin,male
239,roweshari,Chef de projet,IT Project Manager,Inetum,female
240,shawnrowland,Chargé d'activités Data (CRM),Data Analyst / Scientist,Crédit Agricole du Languedoc,male
241,jamierobinson,Head of Teaching,Head of Teaching at LearnEnglish Montpellier,,female
242,nathanmack,Consultant Data Analyst dans le domaine de l'ingénierie de production hybride,Generalist Engineer | Expertise : Energy – Data – R&D,Æquis Group,male
243,kimberlylynch,PLM and Data Developer Analyst Kawneer Europe,PLM and Data Developer Analyst Europe chez Kawneer,Kawneer Company,female
244,jperez,Analyste de données,Architecte fonctionnel chez AGEFOS PME,Opco des Entreprises de Proximité,male
245,sarah49,Administrateur SIG,Administrateur SIG,Conseil departemental herault,male
246,melanie83,Data Analyst,Formateur Excel  Power Query  Word,,male
247,jacobwalker,Ingénieur Etudes et Développement,Ingénieur Etudes et Développement chez Odigo,,male
248,gburke,Data Analyste,Future Data Analyst Marketing Digital | En recherche d'alternance,L'atelier by Amélie ,female
249,heather46,Ingénieur Métrologie Data Analyst ,Data Analyst GROUPAMA - G2S,,male
250,haleymichele,Analyste Développeuse Data,Développeuse Décisionnelle BI,Acelys Services Numériques,female
251,figueroapreston,Expert Innovation et Transformation Digitale,Expert Transformation Digitale  coordinateur #transfodigitaleday  référent Calcul Quantique,,male
252,feliciajensen,,Alternant commercial chez NHOOD services France. 3ème année de Bachelor International of Business Administration,Nhood Services France,male
253,ichang,Chargée de la formation professionnelle,Elève attachée à l'IRA de Bastia,,female
254,xstewart,DATA Analyst,Responsable/ Coordinateur associatif,A son compte,male
255,victoria56,Consultant et formateur DPO externe,Formateur en entreprises et enseignant.,Bizdev34,male
256,christine48,Data analyst,Data analyst @PwC | Formatrice Data 📊 SQL - Tableau | Freelance,PwC France,female
257,courtney26,Directeur Web Marketing du groupe Keyce Academy,Je génère des leads grâce au web 🎯,Keyce Academy,male
258,piercetiffany,Data Analyst,Data Science | Data Analysis | Intelligence Artificielle – À l’écoute d’opportunités,,male
259,martinbryce,,Student at Université Paul Valéry - Montpellier III : M1 MIASHS,,female
260,richardchen,Manager | Audit IT & Finance,Manager | Audit IT & Finance chez PwC France,,male
261,sarahgray,Analyste BI,Data Analyst / Data Scientist / Artificial Intelligence,Pacific Pêche,female
262,dwatkins,Développeuse BI,Consultante Décisionnel Confirmée chez Business & Decision,Septeo Solutions Notaires,female
263,wparker,Chargée de mission RSO,Chargée de missions RSO 🌱| Étudiante en Master 2 Management des Universités et Technologies de l’Information |,CPAM de l'Hérault (Assurance Maladie),female
264,frivas,Stage Data SNCF ,Diplômé d'un master MIASHS / En recherche d'emploi,,male
265,ashley63,Data Scientist,Data Scientist,,male
266,jessica16,Chargé d'études Statistiques,Chargé d'études Statistiques chez AXA,,male
267,rodriguezmegan,Ingénieur Études et Développement,Ingénieur Études et Développement @ Synanto,,male
268,jscott,Chief Commercial Officer (CCO),Co-Fondatrice et Directrice de Nice Shot Agence de Communication éco-responsable,NiceShot,female
269,kristiporter,Junior Data Scientist,Expert en ingénierie du logiciel,,male
270,stephanie26,Spécialiste des données,Étudiant(e) à Montpellier Ynov Campus,,male
271,dsandoval,Chargée de recherche ,Engineer in molecular and cell biology,Pierre Fabre Group,female
272,lindasingh,Data Scientist / Analyst,Alternant Data Science Engineer @EngieGreen,ENGIE GREEN,male
273,corysolomon,Analytic Engineer,DATA ANALYST,,male
274,juliawilson,Data analyst,Data Analyst,,male
275,marcusfox,Data Analyst,Data Analyst & Passionate Basketball Coach,,male
276,alice55,,Étudiante en Master 2 MBFA - Système d’information économique et financier,Airbus Helicopters,female
277,david77,Pâtissière,💡 Future Data Analyst en Marketing Digital | Recherche d'alternance (mai 2025),Oreegami Academy,female
278,jsmith,Data analyst,Data Analyst at Tageos,,male
279,alicia23,,Étudiant(e) à Université de Montpellier en licence d'informatique,,male
280,millsjeanette,Support Informatique N2,📊Développeur Web / Support N3 / Data Analyst,,male
281,leedavis,Chargé d'études Gestion locative ,🚀 J'accompagne les entreprises à créer des sites web professionnels grâce à l'IA | Livraison en 3 jours grâce à Flow IA 🚀,Flow IA,male
282,scott03,Data Analyst,Data Analyst au Crédit Agricole Languedoc,,female
283,ramirezjessica,CTO,CTO,Smile,male
284,selena64,Analyste de données,Data Analyst | Data Scientist | Data Engineer,,male
285,hannahbautista,Data Scientist Assistant ,M2 MIASHS | Data Science,,male
286,teresa64,,Data Analyst - Support Data,,male
287,lawsoncharles,Alternant en data science,Étudiant en Data Science/Data Analyst/Épidémiologie  Ostéopathe DO,Sanofi,male
288,chad78,Data Scientist,Data Scientist - machine learning - NLP - ANSES,Agence nationale de sécurité sanitaire,male
289,williamsjillian,Data Analyst | Spécialité Marketing Digital,📊 Data Analyst | 🎯 Spécialiste en Marketing Digital | 🎓 Formation chez Oreegami,,male
290,fperez,,Bridging Data  Marketing & Sustainability | Digital Strategy & Analytics,,female
291,greensuzanne,Coaching pleine santé  bien être  performance,Passe de la fatigue à la performance durable : coaching santé  énergie ⚡ et performance,Energya Coaching,female
292,toddadams,Data Analyst - Finance R&D,Suite à l’obtention de mon double Master en Data Management et Finance d’Entreprise en alternance  je suis activement à la recherche d'opportunités professionnelles sur le poste de Data Analyst / FP&A sur Montpellier.,,female
293,josephburnett,Projet tuteuré,Étudiant en master de Géomatique à l'université de Montpellier,Cereg,male
294,danielle13,Ingénieure Génie Electrique & Raccordement HTA,Future energy and environment engineer,,female
